"filename", "language", "GDResource", "GDScript", "GDScene", "gdshader", "Python", "XML", "comment", "blank", "total"
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_07.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_08.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_09.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_10.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_11.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_12.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_13.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_01.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_02.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_03.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_04.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_05.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_06.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_07.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_08.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_09.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_10.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_11.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_12.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Purple\texture_13.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_01.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_02.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_03.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_04.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_05.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_06.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_07.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_08.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_09.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_10.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_11.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_12.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Red\texture_13.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\normal_maps\seamless_water_normals.jpeg.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\spellframe.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\enemies\flying_ghost_01.tscn", "GDScene", 0, 0, 72, 0, 0, 0, 0, 14, 86
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\generate_spells.py", "Python", 0, 0, 0, 0, 24, 0, 8, 6, 38
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\global_theme.tres", "GDResource", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\icon.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\project.godot", "GDResource", 69, 0, 0, 0, 0, 0, 7, 20, 96
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\book&pen\book.tscn", "GDScene", 0, 0, 57, 0, 0, 0, 0, 7, 64
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\book&pen\pen_0.tscn", "GDScene", 0, 0, 229, 0, 0, 0, 0, 26, 255
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\NPC_STATE_MACHINE.gd", "GDScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\ai_movement.gd", "GDScript", 0, 44, 0, 0, 0, 0, 0, 15, 59
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\npc_area.gd", "GDScript", 0, 61, 0, 0, 0, 0, 0, 17, 78
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\npc_area.tscn", "GDScene", 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\npc_resources\apprentice_mage.gd", "GDScript", 0, 91, 0, 0, 0, 0, 0, 16, 107
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\npc_resources\apprentice_mage.tres", "GDResource", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\npc_resources\apprentice_mage.tscn", "GDScene", 0, 0, 33, 0, 0, 0, 0, 15, 48
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\npcs\npc_resources\npc_resources.gd", "GDScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\player\input_movement.gd", "GDScript", 0, 42, 0, 0, 0, 0, 2, 10, 54
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\player\player.tscn", "GDScene", 0, 0, 587, 0, 0, 0, 0, 82, 669
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\spells\fire_ball\fire_ball.tscn", "GDScene", 0, 0, 56, 0, 0, 0, 0, 12, 68
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\spells\fire_ball\projectile.gdshader", "gdshader", 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\spells\fire_ball\projectile_model.glb.import", "GDResource", 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\spells\ice\ice_spikes.tscn", "GDScene", 0, 0, 55, 0, 0, 0, 0, 11, 66
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\spells\instant_dash.tscn", "GDScene", 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\spells\rock_spikes\vfx_earth_spikes.tscn", "GDScene", 0, 0, 497, 0, 0, 0, 0, 29, 526
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scenes\world\World.tscn", "GDScene", 0, 0, 72, 0, 0, 0, 0, 22, 94
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scripts\autoloads\player_stats.gd", "GDScript", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scripts\autoloads\templates.gd", "GDScript", 0, 58, 0, 0, 0, 0, 0, 19, 77
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\scripts\book&pen\pen.gd", "GDScript", 0, 39, 0, 0, 0, 0, 14, 17, 70
